Teststellen	Arabic Family B	Potential Agreement Readings
1	وفى الناس المسره	1,1D,1E
2	الرعاه	2,3
3	يوسف وامه	1,1B
4	ولكن بكل كلام اللاه	1,1B,1C,3,3B
5	فى مجامع اليهود	8,9
6	تشفيهم	1,1B
7	يجعل ... ويحفظن كلاهما	1,1B,1C,1D,1E,1F,1G,1H,1I,1J,1K,1L
8	فى يوم السبت	2
9	الويل لكم اذا قالوا الناس عليكم الخير كذلك صنعوا ابايهم بالانبيا الكاذبين	1,1B,1C,1D,2,3,3B,4,7
10	الناس	1
11	وبالكيل الذى	2,3,3B,6
12	تلاميذه	2
13	ومنذ زمان {لم يلبس ثوب}	2,3
14	فان {الجاريه} لم	1,2,2B,2C
15	ويشفون كل المرضا	3,3B
16	ثوبين اثنين	1/2,3
17	فيحرقهم فالذى فعل ايلياس	1,1D,1F,1G
18	فزجرهم وقال ليس تعرفوا شبه اي روح انتم	1,1B,1C,1K,1N,1O,1P,1S,1T,1W,1X,1Y,1Z,1ZA,1ZC,1ZF,1ZG,1ZH,1ZJ
19	ان بن الانسان لم ياتى ليهلك انفس الناس بل يخلص	1,1B,1L,1M,1N,1O
20	الرب يسوع {فى تلك الساعه} بروح القدس	7,7B,8,8B
21	ان كل شى	2,2B
22	فقبلته ... بيتها	1,1B,1D,1E,4
23	من اصم	3
24	تبنون قبورهم	1,1F,3,3B,3C,3D,3E
25	قاضى او مقسم	1,1B,1C,1D,2
26	وانتم فكونوا مستعدين لانكم فى الساعه التى لا ترجون ياتى بن البشر	1,1B,1C,1D,1E,1F,1G,1H,1I,1J,1K,1L,1M,1O,2,2B
27	ليس تعرفون ان تجربون	2,2B
28	شجره	2,3
29	{فيقول} لكم	3
30	كل شى معد	1,4,5,6
31	يشبع من	2,3
32	اجعلنى كاحد اجراك	3
33	{فسمعوا الاحبار} هذا كله	2,3
34	كان اسمه العازر	1,1B,1C,1D,1E,2,3,3B,3C,4,5
35	مما سقط	2
36	بما اُمر	2
37	{فانه قام فبدا يصلى} هكذا	10
38	راه يسوع قال	3,3B
39	ماذا ربحوا	2,2B
40	فقالوا له يا رب معه عشره امنا	1/2,1/2C,1/2F,1/2H,1/2N,1/2O,1/2P
41	هذا اليوم	2,2B
42	الذين يقولون	3,3B,3C,4
43	حجر على حجر	1/2,1/2C,1/2E
44	ويكون ايات كبار من السما	1,1B,1D,1G,1H,1I,1J,1K,1L,1O,1P,1Q,2,3,3B,3C,3D,3E,3F,3G
45	فاورى له ملاك من السما يشدده etc	1,3
46	{تجاوبون} ولا تخلونى	1,1B,1D,1E,1F,4,5,5B,6,6B
47	وكان لهم سُنه ان يخلا لهم اسير واحد فى العيد الذى يريدون	6,6B
48	اصواتهم	2,2B
49	فقال يسوع يابتاه اغفر لهم فانهم ليس يعلمون ماذا يصنعون	1,1B,1C,1D,1K,1L,1N,1U,1V,1W
50	واظلمت الشمس	1,1B,1C,3,4
51	الناصرى	1,1B,1C,1D,1E,1F,2,3
52	حظ ... وقطعه من شهد العسل	1,1B,1C,1D,1E,1F,1G,1H
53	ومغفره	1
54	وتبدوا	1,2
