Teststellen	Arabic Family B	Potential Agreement Readings
1	[يسوع المسيح]	3
2	[مكتوب في] ايشعيا النبى	2,2B
3	قدامك	1,1B,1C
4	يعمد في البريه ويكرز	1,1B,4,5
5	وفى حقويه منتقه من جلد	1/2,1/2B,1/2D
6	على اثرى	1/2,4
7	بالما	1,1B,2
8	بروح	1/2,3
9	وكان [صوت] من السما	1/2,1/2B,3,3B,5
10	ومن بعد	1/2,3,3B,4,5,6
11	ملكوت اللاه	1,1B,1C,1D,1E
12	وقال	1/2,1/2C,3
13	يطرحان شبكه	1,1B,1D,1E,1G,2,3,3B,4
14	[جعل يعلمهم]	3
15	جعل يعلمهم [فى الاسبات] فى الجماعه	1/2,1/2B,1/2C,3,3B,10,14
16	وقال	1/2,4
17	منه	1/2,3
18	انهم جعلوا يقولون بعضهم لبعض	1/2,1/2B,1/2C,1/2D,3C,4B
19	وخرج [مكانه] من الجماعه ودخل	3,3B,3C,6,6B,6C,6D,6G
20	عرفوه بانه هو المسيح	3,3B,3C,3D,4,5,6,6B,7
21	فخرج	1/2,1/2B,1/2C,6,7,7B
22	فكان	1
23	وجثا على ركبتيه	1,1B,1C,1D,2,2B,4
24	فتراوف عليه	1/2
25	فلما ان قال له	1,1B,1C,1D,3
26	كان فى اماكن [بريه]	1/2,1/2B,1/2C,3,4
27	في بيت	1,2
28	على الارض ان يغفر الخطايا	1,1B,1C,1D,1E,1F,1G,1H,2,4
29	لوى	1,1B,1C,1D,1E,2,2B,2C,2D,2E
30	فلحقوه ᐥ فاما الكتبه والاحبار [فنظروا]	1,1B,1C,1D,1E,1H,4,4B,4C
31	فنظروا اليه ياكل	1,1B,1D,1F,1G,3,4
32	المكسه والخطاه	1,1C,4,5
33	لماذا	1,1B,2,3,3B,4,6
34	لماذا معلمكم[N15+ omits معلمكم] ياكل ويشرب [مع المكسه والخطاه]	5,5B,6,7
35	والاحبار	1,1D,2
36	ما دام الختن معهم ليس يستطيعون ان يصومون [or يستطيعوا ان يصوموا]	1,1C,1D,1G,1H,1I,1J,1L,1M,1N,1O,1P,1Q,1R,1S,2,2B,2C,2D,4,4B,4C,5,8,8B,8C
37	بل الخمر الجديد يجعل فى زقاق جدد	1,1B,1C,1D,1E,1F,1H,1K,1L,2,4,5
38	كيف	1/2
39	على عهد ابياثر راس الكهنه	1/2,1/2D,4
40	وقال لهم [CSA adds: ان] السبت [CSA adds: انما] صنع منجل الانسان ليس الانسان منجل السبت	1,1B,1C,1D,1E,1F,1G,1H,1I,1J,1K,1L,1M,1N,1O,1P,1Q,2
41	الذى يده يابسه	1,1B,1C,1D,1E,1F,1G,1H,1I,1J,2,3,4,4B,4C,5,6,6B,7,8,9,10,11
42	غلظ	1/2,1/2B,1/2C,1/2D
43	فاتمروا	1,1B,2,3,3B,4,5,6
44	فتبعه ... ومن يهوديا/يهوذا	1,1B,1C,1D,1G,1H,1I,1J,1M,4,5,5B,11
45	اثنا عشر ليكونوا معه	1,1C,1D,1F,1H
46	[Omit]	1
47	وتدى/وتذي	1/2,1/2B,1/2C
48	الاسقريوطا	1,1B,1C,1F,2
49	جماعه	1
50	فسمعوا اولايك الذين [كانوا] الي جانبه	1/2,1/2B,1/2D,1/2E,1/2F,3
51	قد بهت	1/2,1/2C,1/2D,1/2E
52	للدين	1,1B,1C,6
53	امه واخوته	2,2B
54	ليدعوه	1,1C,1E,1F,2,2B
55	واخوتك	3
56	ان كل من	1/2,3,4,5,6,7
57	احترق	1/2,1/2B
58	[وهالاى الذين]	2
59	لعل	1/2,1/2B,1/2C,3
60	ويزاد لكم للذين يسمعون	1,1B,1C,1D,1E,1I,1J,1K,1L,1M,1N
61	فزعتم هكذا	1,1C,3,3B,4,5,6
62	ليس [لكم امانه]	2,4
63	له يسمعون [CSA: يسمعون له]	3,5
64	-	-
65	يسوع فى السفينه	1/2,1/2B,1/2C,1/2D,1/2E,4,4B
66	الى العبر	1/2,1/2B,1/2C,1/2D,3,4,9,10,11
67	اسمه ايايروس/يايروس	1/2,1/2B,1/2C,1/2D,1/2E,1/2F,1/2G
68	عن يسوع	1/2,1/2C
69	ترتعد لانها صنعته بخفى	3,3B,3C,4
70	طبيثا[or طليثا] قومى	1,2,2C,4
71	فعجبوا	1,1B
72	فلما ان كان السبت	1/2,1/2B,1/2C,1/2E,1/2F
73	كثيرين	1/2
74	-	-
75	فقال	1,4
76	-	-
77	قام من بين الموتا	1,1B,2,3,4,5,5B,5C,6
78	ان يحنا الذى	1,1B,1C,1D,1E,1F,1G,2,2B,2C,2D,6
79	فى السجن	1/2,3
80	ويعمل	1
81	بنت [هروذيا\هروديا]	1,1B,3,5,7,8
82	يقرب	1,1B,1C,1D,1E,1F,2
83	ثم انه انطلق	1,1B,1C,2
84	خبز عندكم	1/2,3
85	ان يتكون	1/2,1/2B,1/2C,3,3B
86	[والذين اكلوا]	3
87	كانت	1/2
88	كلهم	3
89	[فبهتوا] فى انفسهم	5,5B,5C
90	[فبهتوا فى انفسهم]	2
91	يقربون ... حيث ما كانوا يسمعوا بانه ثم	1,1B,1E,1F,1H,2,3,4,4B,6,8,9,9B,10,10B,10C,11
92	يصبغون	1/2,1/2B,1/2C,1/2D,1/2E,1/2F,1/2G
93	والخلاقي والاسره	1/2,1/2C
94	تصبغون الاقساط والكوس واخرات اشباه هاولى تصبغوا	1H,1I,1U,1ZR
95	وتمسكون	1,1B,1C,1D,1E
96	[الذى اسلم] اليكم	1/2
97	من كان له اذنين ليسمع فاليسمع	1,1B,1C,1D,1E,1F,1G,1H,3
98	وصيدا وجا	1,1B,1D,1E
99	فجعل اصبعه فى اذنه وبزق ومس لسانه	1/2,1/2B,1/2C,1/2D,1/2E,1/2F,1/2G,1/2I,1/2J,1/2N,1/2P,1/2R,1/2S,9,10
100	[وانحل رباط لسانه]	1/2
101	ايضا [جمع] كثير	2,4
102	فبركهم	1,1B,2,3,4,5
103	اتخوم/تخوم	1/2,1/2B,3,4,5
104	المجدل	11,11B
105	امين اقول لكم	1/2
106	الى السفينه	1,1B,1C,1D,1E,3
107	اتحفظوا	1/2,1/2B,4,5
108	هروذس/هرودس	1/2,1/2B,3
109	فعرف يسوع	1,1B,3
110	وايضا	1,1B,2,3,4,5,6,7
111	فقالوا	1,3
112	بيت صيدا	1/2,1/2B,1/2C,1/2D,1/2E,1/2F,3,3B,4,4B,4C,4D,4E
113	واخرجه	1,1B,1C,1E,2
114	ان كان يبصر شي	1,1B,1C,1D,1E
115	فوضع	1/2,1/2B,3,4
116	-	-
117	نفسه	1/2,3,4
118	فى شانى وفى سبب الانجيل	1/2,1/2C
119	-	-
120	-	-
121	يبكا/ويبكا وقال	1,1B,1C,1D
122	الروح النجس	1/2,1/2B,1/2C,1/2D,4
123	بصوم وصلاه	1
