Teststellen	Arabic Family B	Potential Agreement Readings
1	لم يزل [الحياه]	1/2,3
2	الا الابن الوحيد	6
3	الذى [ياتي] على اثرى	2
4	لست باهل [ان احل]	1,1-f1,1-f2,2,3,4,5,6,7
5	[ان احل سيور حذاه ᐥ هذا كان فى بيت ابار]	1/2
6	عنه	1,2
7	هذا هو المختار بن الله	OL1
8	الذى يحمل اخطايا العالم	3,4
9	فسمعاه تلمذيه	9,10,10B
10	الذى تفسيره يا معلم	1,1-f1,1E,1G,2,3,4,4B,5,6
11	يونان	1,1B,1C,1D,1E
12	ناثانايل فقال	4,4B
13	ترون	2,2B
14	سته اجانات من حجاره مجعوله لطهر اليهود	1,1-f1,3,4,6,6-f,8,9,10,11,16
15	وامه واخوته وتلاميذه	1/2,1/2D,1/2E
16	[فصنع] دره [من حبل]	1/2,1/2-f1,1/2B,1/2B-f
17	صرفهم	1/2,1/2-f1
18	وكفا	1,1-f1,1-f3,1E,2,3,3-f,4
19	[والكلمه] التى [قال لهم يسوع]	1,2
20	[الايات] التى كان يصنع و[لم يكن يتمنهم] يسوع	1,1E,2,2-f1,3
21	يسوع فقال له	4,4C
22	ملكوت الله	1/2
23	[بن] البشر الازلى فى السما	1,1-f,1B,1E
24	به	1
25	ابنه الوحيد	1,1-f1,1-f2,1-f5,1B,1B-f,1H
26	اعماله لانها شريره	4,4B,4D
27	اليهود	3,3C
28	[ليس يقدر انسان] ان ياخذ من قبل نفسه شى	2D,3,3B,3C,3D,3E,3F,3G,3H
29	من السما	1/2,1/2B
30	فانه فوق كل شى	1/2
31	فانه	1/2
32	يسوع	2,2-f,2B
33	[قد سمعوا بانه قد اتخذ تلاميذ كثير ويعمد ايضا // وليس كان يسوع الذي يعمد ولاكن تلاميذه]	V
34	[يهوديا وانطلق الى الجليل]	1
35	فقالت	1/2,4
36	[فقالت] له تلك المره	1/2,1/2-f,4
37	[والبير غميق من اين لك انت ما الحياه]	4
38	والاب ينبغى مثل هاولاى الساجدين	1/2O
39	يسجدون له	1/2,4
40	كل شى فعلته	1/2,3,W1/3-f
41	[ان فى هذه الكلمه] الحق	1,1-f,1C
42	[انه قال لى كل شى فعلته]	1,2
43	خرج من ثم وانطلق الى الجليل	1,1-f2,1E,1F,3,4
44	وقالو{وقالوا} له	2
45	ابنك	1,1-f1,4,5,7
46	ابوه	3
47	بيت صيدا	3,3B,3C,3D,3E
48	[فيهم مرضا كثير مطروحين عمى ومقاعيد] ومكسحين وكانوا ينتظرون تحريك الما	1,1-f1,1-f4,1-f5,1H,W1/4
49	VS 4	1
50	ينزل قبلى	1/2
51	اليهود [تكرد {تطرد؟}] يسوع وكانوا يريدون قتله	1,1-f2,1-f3,1H,9,W1/1J
52	بن اللاه	1/2
53	[تلك الاعمال هى تشهد لى ان الاب ارسلني الذى منذ قط صوته لم تسمعوا]	V
54	التى ترجون منها الحياه	8,9C-f,14
55	من بعضكم بعض	1/2,1/2-o
56	الله	1/2,4
57	بحر جليل طبريه	1/2,1/2-f2
58	لانهم كانوا يروا	1,1-f4,2,2-f1,3B,W1/3/3B
59	وكان عيد فصر اليهود قد اقترب	1/2
60	الرجال	1/2
61	فشكر وكسر واعطا	6,6B
62	الايه التي صنع يسوع	1,1-f1,1-f5,1K,6,7,8,9
63	جا الى العالم	1/2
64	[ولم] ياتيهم يسوع	1/2,1/2-f1,1/2F,3,4,5,5B,6
65	في الارض	1/2,1/2-f,3,5
66	[فلم يكون هنالك سفن اخرا غير] تلك الواحده التى صعدوا فيها التلاميذ	1W
67	فجات سفن اخرا من طبريه	1,1-f1,1-f2,1B,1D,1G,1H,1J,2,2B,3,3B,3C,3D,3E,3F,3G,3H,3J,4,4B,5,5B,5C,5D,5E,5F,5G,5H,8,9
68	شكر يسوع	5,5-f
69	صعدوا فى	1/2,1/2-f1,1/2-f3,1/2-f4,1/2D,1/2E,1/2K,1/2L,3,3B,3C,3D,3E
70	وامه	1/2,1/2-f,1/2B
71	كيف	4
72	يقول هذا	1,1-f2,1B
73	كان عند الله	1/2,1/2-f,1/2C,3
74	يومن بى	1,1-f1,1-f2,1E,1F
75	هذا يعطينا	1/2,1/2-f2,1/2-f3,4
76	[طعام] الحق ... [شراب] الحق	1,1-f,1B,2,2-f1,2-f2,3,4
77	به	1/2
78	من السما	1,2
79	اباكم	1
80	المن فى البريه وماتوا	3,3B
81	من لا يومن و...	1/2,1/2-f1,1/2-f2,1/2D,1/2E,1/2G,1/2J,1/2L-f
82	كتير من تلاميذه	1,2
83	المسيح بن [الله الحى]	1,1B,1C
84	[المسيح بن] الله الحى	1,1B
85	[يهوذا بن سمعان] الاسقريوطا	2
86	الذى كان عتيد ان يسلمه	1,1-f1,1-f2,1-f3,1-o,1-of,1K,1K-o,1N,1N-o,1O,1U,1V,1V-o,1X,2,2-f,2-o,2B
87	ان يكون علانيه	1/2,1/2-f1,1/2-f2,1/2-f3,3,4,6,9,10,W1/2 1/2C,W1/4-f
88	[فلما ان قال هذا مكث فى الجليل]	2,7
89	وكان [انشقاق] كثير منجله [فى الشعب]	1,2,3,4,8,9
90	[لان] الروح [لم يكن]	2
91	الكلمه	1,1-f
92	قالوا بحق ان هذا نبى	1/2
93	ياتى المسيح	1,2
94	[فقالوا الخدام انسان منذ قط لم يتكلم] مثل هذا	2,9
95	اجابوا الاحبار فقالوا	1/2,3
96	[اجابوا الاحبار فقالوا]	3
97	الذى جا الى يسوع بالليل	6,7
98	الليل وهو	1
99	نبى من الجليل	1,1-f1,1-f2,1-f3,3B
100	[OMIT]	2
101	شهادتي حق	1/2,1/2-f1,1/2-f2,3
102	[فان قضاي{قضائي}] صدق	1,2,5
103	وابي	1/2,4,W1/2/ 4
104	فقال لهم ايضا يسوع	1,1B,3,5,6,9
105	هذا العالم	1,1-f,2,4
106	فقالوا له	1/2,4
107	يسوع	1/2,3
108	قال فقال لهم	1/2
109	يسوع	1/2,3
110	اما انا الذى	1,1-f,6,10B,11
111	عند ابي [اياه]	1,1B,3
112	اياه اتكلم	1/2
113	رايتم	1,1-f,1-o
114	من ابوكم	1,4
115	اياه تفعلوا	1/2,1/2-f
116	من منكم يوبخني على خطيه ᐥ واذا قلت الحق لماذا لا تصدقونى	1/2
117	مثلكم	1,1-f1,1-f2,1B,2,2B,2C,3,4,5,6
118	خمسين	1/2,1/2-f1,1/2-f2
119	وجاز فى وسطهم وانطلق	1ZD,4C
120	ينبغى لي ان اعمل	1,1B
121	الذى ارسلنى	1/2,1/2-f
122	بركه سلوان	1,1-f1,1-f2,1-f3,1-f4,1-f6,1-f7,1O,1P,5
123	وكان ذلك اليوم ... يوم سبت	2,4B
124	ابويه	5
125	الان يبصر	1
126	من عند الله	1/2,3,5,6,7,8
127	يسوع	1,2
128	وقال له	1,1-f
129	الله	1
130	فقال امنت يا رب وسجد له فقال يسوع	1/2
131	فقال لهم يسوع	7,8
132	اني انا	1/2,3
133	ابدل	1/2,1/2K,W
134	ويسمعون	1/2,1/2-f,3,4,5,W1/2 3/5
135	فيصرن	2
136	فكان ايضا انشقاق بين اليهود [منجل هذا الكلام]	1,1-f3,1-f4,1F,1H,3,3-f,5,6,7
137	غنمى كما قلت لكم	1,1-f1,1B
138	اعطيها حياه للدهر	1,1-f2,1-f3,1-f4,1-f5,1F,1G,2,8
139	الذى اعطاني	1,1-f,1B,2,3,4,5,6
140	فانه اعظم من كل شى	1,1-f1,1-f2,2,2B,3,3B,4
141	من يد ابي	1,1-f
142	فحملو{فحملوا} [اليهود حجاره لكيما يرجموه]	3,3-f
143	اعمال صالحه كثير اوريتكم	1,1H,2,2B,3,4
144	ابي	1
145	ترجمونى	1,1-f,2,3
146	يسوع فقال [S71+ adds لهم]	4,4B
147	ناموسكم	1/2
148	[بن] اللاه	1/2,3
149	[تعلموا] وتومنوا	1,4,7
150	فارادوا ايضا ان يمسكوه	1,2,2-f,4,5,8,9
151	[فانطلق] ايضا [الى]	1/2
152	[يحنا] منذ اول	1/2,4
153	[ان يحنا لم] يصنع [ولا] ايه [واحده]	1/2,1/2B,3,4,5,9,11
